,PicCount,List Price,Sold Price,Tot BR,Tot Baths,TotFlArea,Age,TotalPrkng,# Rms,Fireplaces,Gross Taxes,Taxes/TotFlArea,Strata Maint Fee,View_Score,Baths,GST Incl,Title to Land 0,Title to Land 1,Title to Land 2,Title to Land 3,Title to Land 4,Title to Land 5,Title to Land 6,District 21,District 16,District 11,District 10,District 15,District 18,District 26,District 20,District 13,District 22,District 17,District 14,District 27,District 8,District 7,District 9,District 6,District 3,District 31,District 12,District 25,District 4,District 32,District 5,District 23,District 19,District 2,DOM,Address_IsPH
R2133550,0.08440831428569649,-0.01776394444250498,-0.04878755285920022,0.8694335713973095,0.9478831840426758,0.5472348815852889,-0.6752184638702958,-0.1270117087732673,0.789363730636503,-0.6262828060694792,-0.025875552559380784,-0.035576824590003164,0.0891122368382201,1.1118977525351714,1.0763591766107998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25,0
R2133196,0.7662852690848909,-0.5391406256387965,-0.5829888459985386,-0.6576829802210812,-0.8076088499514855,-0.21927150468027706,-0.907728949203566,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,-0.04569064426447185,-0.028824290759088107,-0.5453707136295045,-0.7917560179078185,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22,0
R2133419,-2.302161027511484,-0.03861901169035664,-0.14499670065556913,-0.6576829802210812,-0.8076088499514855,-0.9617171523635158,-1.2952464247590163,-0.1270117087732673,-1.7452375089217154,-0.6262828060694792,-0.1506850178817064,-0.10948393153328188,-0.5130077439865365,0.7946221241280065,-0.818122021519067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20,0
R2133298,0.7662852690848909,-0.900628457934892,-0.9459378560603404,-0.6576829802210812,-0.8076088499514855,-0.7761057404427061,1.0298584285736856,-0.1270117087732673,-0.47793688914260624,1.5271178725774979,-0.07333982694250375,-0.033694698911251,-0.8239815304999728,-0.15720476109348847,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,0
R2133332,0.7662852690848909,-0.5718135643270975,-0.5923692379086846,-0.6576829802210812,-0.8076088499514855,-0.3464496943297207,-0.6752184638702958,-0.1270117087732673,-0.47793688914260624,-0.6262828060694792,-0.036992493850030235,-0.01760966219312039,0.007752815948076858,1.7464490093495015,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,0
R2133442,-1.6202840727122896,-1.2690679793136048,-1.3360659503746164,-0.6576829802210812,-0.8076088499514855,-0.6489275507932625,2.6574318259065772,-0.1270117087732673,-1.7452375089217154,-0.6262828060694792,-0.1506850178817064,-0.10948393153328188,1.1656480408090557,-1.4263072747221484,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,0
R2133360,0.7662852690848909,0.09578031057357629,0.20135623141135897,0.8694335713973095,0.9478831840426758,0.31006474413092094,-0.5977149687592057,-0.1270117087732673,0.789363730636503,-0.6262828060694792,-0.00014010686252462093,-0.013533005882311228,-0.2567557013014332,-0.31584257529707094,1.0763591766107998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0
R2134564,0.08440831428569649,1.2126850231807431,1.1778790815445035,0.8694335713973095,0.9478831840426758,0.0557083648320336,-1.2177429296479263,-0.1270117087732673,-0.47793688914260624,-0.6262828060694792,-0.043410707236898195,-0.03501602243174184,0.07446754107799428,1.4291733809423366,1.0763591766107998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0
R2133346,-0.2565301631139007,-0.7615946762825476,-0.693388843094872,-0.6576829802210812,-0.8076088499514855,-0.5458100997261459,-0.5202114736481156,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,-0.04660146795551263,-0.017926770871698253,-0.5628479225614611,0.16007086731367653,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0
R2133463,0.7662852690848909,-0.48120988328365305,-0.3253888527737609,-0.6576829802210812,-0.8076088499514855,-0.23645774652479645,-0.6752184638702958,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.1506850178817064,-0.10948393153328188,0.22199929095878745,-0.7917560179078185,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0
