,PicCount,List Price,Sold Price,Tot BR,Tot Baths,TotFlArea,Age,TotalPrkng,# Rms,Fireplaces,Gross Taxes,Sold Price Per SQFT,SP/LP Ratio,SP/OLP Ratio,Strata Maint Fee,View_Score,Baths,GST Incl 0,GST Incl 1
R2050687,-2.302161027511484,-0.8612355531333944,-0.9146698830265204,-0.6576829802210812,-0.8076088499514855,-0.8620369496653032,-0.5202114736481156,-0.1270117087732673,-1.1115871990321609,1.527117872577498,-0.057593224947393426,-0.8026064424553421,-0.38569149704051264,-0.3127140096041168,-0.8181959716811181,2.0637246377566663,-0.818122021519067,1.0,0.0
R2050161,-2.6430995049110813,-0.34449333132551435,-0.38551957014649146,0.8694335713973095,0.9478831840426758,0.2138217898016122,-0.2877009883148455,-0.1270117087732673,0.15571342074694838,1.527117872577498,-0.02630722255513471,-1.0306104418449813,-0.38569149704051264,-0.3127140096041168,0.4014118805809773,-0.7917560179078185,1.0763591766107998,1.0,0.0
R2049384,0.7662852690848909,-0.038619011690356635,0.4803627600208288,0.8694335713973095,0.9478831840426758,0.08664360015216854,0.09981648724060486,-0.1270117087732673,0.15571342074694838,1.527117872577498,0.007267350264612756,0.9485785092972384,4.069830638454643,3.7957727597040263,0.17017032653988126,2.0637246377566663,0.12911857754586634,1.0,0.0
R2049572,-0.08606092441410211,-0.06642576802082553,0.0017222497338934596,0.8694335713973095,0.9478831840426758,0.6572268293902132,0.09981648724060486,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,0.0098106059895963,-0.7849594699843548,0.4394051947178505,0.4481168736010956,0.6685118460514327,0.7946221241280065,1.0763591766107998,1.0,0.0
R2050642,-2.4726302662112825,-0.7108473459794419,-0.8064345917556055,-0.6576829802210812,-0.8076088499514855,-0.9720288974702276,-0.830225454092476,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.050980040612443295,-0.22238762778124024,-1.0457688504472031,-0.9213787161682868,-0.922094965469716,-0.7917560179078185,-0.818122021519067,1.0,0.0
R2048984,0.5958160303850923,-0.7129328527042271,-0.628447668332323,-0.6576829802210812,-0.8076088499514855,-0.5458100997261459,-0.5977149687592057,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,-0.03877097423253641,-0.5386691150631854,1.2645018864762136,1.2089477568063078,-0.5628479225614611,0.7946221241280065,-0.818122021519067,1.0,0.0
R2048988,0.7662852690848909,-0.7203479877256854,-0.6260424396374138,0.8694335713973095,0.9478831840426758,0.07976910341436078,1.3398724090180458,-0.1270117087732673,-0.4779368891426062,-0.6262828060694792,-0.047164797299971487,-1.3811628611720321,1.4295212248278863,1.3611139334473503,-0.6273327968966116,-1.4263072747221484,1.0763591766107998,1.0,0.0
R2048937,-1.6202840727122896,-0.8079392701666624,-0.7703561613319672,-0.6576829802210812,-0.8076088499514855,-0.4461298970279333,-0.5202114736481156,-2.420634290546221,-0.4779368891426062,-0.6262828060694792,-0.05072535531494846,-1.0716162087944734,0.7694438714211957,0.7524492268831806,-0.4069391656408681,1.1118977525351714,-0.818122021519067,1.0,0.0
R2048438,0.7662852690848909,-0.24740140713829384,-0.2652581354010303,0.8694335713973095,0.9478831840426758,0.15195131916134233,-0.985232444314656,-0.1270117087732673,2.690314660305167,-0.6262828060694792,-0.0016344044978261274,-0.7107484094239956,-0.22067215868884,-0.1605478329630743,0.2210952973933412,0.4773464957208415,1.0763591766107998,1.0,0.0
R2048397,0.7662852690848909,-0.59707136799394,-0.5226176057563171,0.8694335713973095,0.9478831840426758,0.2310080316461316,0.4098304676849651,-0.1270117087732673,-0.4779368891426062,-0.6262828060694792,-0.034447079775067904,-1.3257496625916372,0.9344632097728685,0.9046154035242232,0.018721271208822055,0.4773464957208415,1.0763591766107998,1.0,0.0
