,PicCount,Status,List Price,Sold Price,List Date,Sold Date,DOM,Tot BR,Tot Baths,TotFlArea,Yr Blt,TotalPrkng,Sold Price per SqFt,Full Baths,Half Baths,Price Per SQFT
R2046387,1.0,S,439000.0,434000.0,3/13/2016,3/27/2016,14.0,1.0,1.0,660.0,1984.0,1.0,657.58,1.0,0.0,657.58
R2046107,19.0,S,799900.0,822000.0,3/13/2016,3/20/2016,7.0,2.0,1.0,1200.0,1973.0,1.0,685.0,1.0,0.0,685.0
R2045696,0.0,T,1599000.0,,3/11/2016,,12.0,2.0,2.0,1241.0,2007.0,2.0,,2.0,0.0,1288.48
R2044782,7.0,S,359900.0,363000.0,3/11/2016,3/19/2016,8.0,0.0,1.0,400.0,1999.0,1.0,907.5,1.0,0.0,907.5
R2044411,0.0,T,1238000.0,,3/10/2016,,20.0,2.0,3.0,1054.0,1997.0,1.0,,2.0,1.0,1174.57
R2045466,20.0,S,695000.0,695000.0,3/10/2016,3/29/2016,9.0,2.0,2.0,975.0,1975.0,1.0,712.82,1.0,1.0,712.82
R2044309,1.0,S,900000.0,900000.0,3/10/2016,3/25/2016,15.0,2.0,2.0,853.0,2007.0,1.0,1055.1,2.0,0.0,1055.1
R2044322,20.0,S,539000.0,563500.0,3/10/2016,3/21/2016,11.0,1.0,1.0,612.0,2005.0,1.0,920.75,1.0,0.0,920.75
R2044752,20.0,S,499000.0,507000.0,3/10/2016,3/21/2016,11.0,1.0,1.0,664.0,1998.0,0.0,763.55,1.0,0.0,763.55
R2046973,1.0,S,858000.0,900000.0,3/10/2016,3/20/2016,10.0,2.0,2.0,974.0,1995.0,1.0,924.02,2.0,0.0,924.02
R2044503,10.0,S,699000.0,800000.0,3/10/2016,3/19/2016,9.0,2.0,2.0,1021.0,2009.0,1.0,783.55,2.0,0.0,783.55
R2044685,17.0,S,429000.0,419000.0,3/10/2016,3/17/2016,7.0,1.0,1.0,621.0,2009.0,1.0,674.72,1.0,0.0,674.72
R2044571,18.0,S,639000.0,720000.0,3/10/2016,3/16/2016,6.0,2.0,2.0,756.0,2009.0,1.0,952.38,2.0,0.0,952.38
R2044333,20.0,S,1889000.0,1889000.0,3/10/2016,3/15/2016,5.0,2.0,2.0,1297.0,2006.0,1.0,1456.44,2.0,0.0,1456.44
R2044678,14.0,S,525000.0,582000.0,3/10/2016,3/14/2016,4.0,1.0,1.0,637.0,1998.0,1.0,913.66,1.0,0.0,913.66
R2044072,11.0,S,549900.0,575000.0,3/9/2016,3/21/2016,12.0,2.0,2.0,847.0,1987.0,1.0,678.87,2.0,0.0,678.87
R2044030,16.0,S,729900.0,755000.0,3/9/2016,3/17/2016,8.0,2.0,2.0,917.0,1988.0,1.0,823.34,2.0,0.0,823.34
R2044069,20.0,S,800000.0,810000.0,3/9/2016,3/14/2016,5.0,1.0,1.0,809.0,2004.0,1.0,1001.24,1.0,0.0,1001.24
R2043727,20.0,S,598000.0,650000.0,3/9/2016,3/14/2016,5.0,1.0,1.0,670.0,2010.0,1.0,970.15,1.0,0.0,970.15
R2043770,16.0,S,498000.0,543000.0,3/9/2016,3/14/2016,5.0,1.0,1.0,574.0,2006.0,1.0,945.99,1.0,0.0,945.99
R2043652,10.0,S,699000.0,750000.0,3/9/2016,3/14/2016,5.0,2.0,2.0,727.0,2007.0,1.0,1031.64,2.0,0.0,1031.64
R2044097,20.0,S,1399900.0,1460000.0,3/9/2016,3/14/2016,5.0,2.0,2.0,1123.0,2004.0,1.0,1300.09,2.0,0.0,1300.09
R2045572,0.0,S,729000.0,710000.0,3/9/2016,3/9/2016,0.0,2.0,2.0,1001.0,1997.0,1.0,709.29,2.0,0.0,709.29
R2043419,12.0,T,988000.0,,3/8/2016,,22.0,2.0,2.0,1166.0,1994.0,1.0,,2.0,0.0,847.34
R2044179,16.0,S,489000.0,468000.0,3/8/2016,3/30/2016,22.0,1.0,1.0,587.0,1997.0,1.0,797.27,1.0,0.0,797.27
R2043127,20.0,S,639900.0,639900.0,3/8/2016,3/28/2016,20.0,2.0,2.0,866.0,1990.0,1.0,738.91,2.0,0.0,738.91
R2043387,20.0,S,900000.0,910000.0,3/8/2016,3/21/2016,13.0,2.0,2.0,920.0,2008.0,1.0,989.13,2.0,0.0,989.13
R2043618,17.0,S,789000.0,789000.0,3/8/2016,3/18/2016,10.0,2.0,2.0,1184.0,1994.0,1.0,666.39,2.0,0.0,666.39
R2043888,8.0,S,575000.0,666000.0,3/8/2016,3/16/2016,8.0,1.0,1.0,667.0,1995.0,1.0,998.5,1.0,0.0,998.5
R2043512,7.0,S,499000.0,511000.0,3/8/2016,3/16/2016,8.0,1.0,1.0,702.0,1999.0,1.0,727.92,1.0,0.0,727.92
R2043293,20.0,S,1198800.0,1281000.0,3/8/2016,3/16/2016,8.0,2.0,2.0,1151.0,2005.0,1.0,1112.95,2.0,0.0,1112.95
R2043549,14.0,S,725000.0,825000.0,3/8/2016,3/15/2016,7.0,2.0,2.0,967.0,1987.0,1.0,853.15,2.0,0.0,853.15
R2043230,19.0,S,639000.0,689000.0,3/8/2016,3/15/2016,7.0,2.0,2.0,1042.0,1975.0,2.0,661.23,2.0,0.0,661.23
R2043557,18.0,S,649900.0,705000.0,3/8/2016,3/15/2016,7.0,1.0,1.0,667.0,1995.0,1.0,1056.97,1.0,0.0,1056.97
R2043569,20.0,S,778000.0,750000.0,3/8/2016,3/15/2016,7.0,2.0,2.0,1023.0,2007.0,1.0,733.14,2.0,0.0,733.14
R2043126,10.0,S,429000.0,450000.0,3/8/2016,3/15/2016,7.0,1.0,1.0,671.0,2008.0,1.0,670.64,1.0,0.0,670.64
R2044094,12.0,S,688000.0,688000.0,3/8/2016,3/14/2016,6.0,1.0,1.0,817.0,2011.0,1.0,842.11,1.0,0.0,842.11
R2043430,14.0,S,499000.0,565000.0,3/8/2016,3/14/2016,6.0,1.0,1.0,585.0,2002.0,1.0,965.81,1.0,0.0,965.81
R2043357,17.0,S,490000.0,513000.0,3/8/2016,3/14/2016,6.0,1.0,1.0,626.0,2007.0,1.0,819.49,1.0,0.0,819.49
R2043627,20.0,S,1499000.0,1480000.0,3/8/2016,3/13/2016,5.0,2.0,2.0,1027.0,2011.0,2.0,1441.09,2.0,0.0,1441.09
R2043239,20.0,S,368000.0,368000.0,3/8/2016,3/13/2016,5.0,1.0,1.0,738.0,1948.0,,498.64,1.0,0.0,498.64
R2043235,20.0,S,1185000.0,1250000.0,3/8/2016,3/12/2016,4.0,2.0,2.0,1057.0,2011.0,1.0,1182.59,2.0,0.0,1182.59
R2040708,1.0,S,339000.0,375000.0,3/8/2016,3/12/2016,4.0,0.0,1.0,401.0,2003.0,,935.16,1.0,0.0,935.16
R2044308,10.0,S,399800.0,399000.0,3/8/2016,3/12/2016,4.0,1.0,1.0,576.0,2000.0,1.0,692.71,1.0,0.0,692.71
R2043336,19.0,S,619900.0,608800.0,3/7/2016,3/30/2016,23.0,2.0,1.0,702.0,2005.0,1.0,867.24,1.0,0.0,867.24
R2042571,13.0,S,1698000.0,1638000.0,3/7/2016,3/27/2016,20.0,2.0,2.0,1224.0,2006.0,1.0,1338.24,2.0,0.0,1338.24
R2042824,13.0,S,539000.0,528000.0,3/7/2016,3/26/2016,19.0,1.0,1.0,589.0,2009.0,1.0,896.43,1.0,0.0,896.43
R2042721,12.0,S,739000.0,739000.0,3/7/2016,3/26/2016,19.0,2.0,2.0,1026.0,2009.0,,720.27,2.0,0.0,720.27
R2042324,6.0,S,638000.0,628000.0,3/7/2016,3/25/2016,18.0,2.0,2.0,803.0,2005.0,1.0,782.07,2.0,0.0,782.07
R2042937,19.0,S,1550000.0,1465000.0,3/7/2016,3/23/2016,16.0,3.0,3.0,1538.0,1996.0,3.0,952.54,2.0,1.0,952.54
R2042841,20.0,S,399000.0,455000.0,3/7/2016,3/22/2016,15.0,1.0,1.0,560.0,1996.0,1.0,812.5,1.0,0.0,812.5
R2043234,20.0,S,1349000.0,1320000.0,3/7/2016,3/21/2016,14.0,2.0,2.0,1100.0,2007.0,1.0,1200.0,2.0,0.0,1200.0
R2043163,11.0,S,569000.0,560000.0,3/7/2016,3/20/2016,13.0,1.0,1.0,655.0,2006.0,1.0,854.96,1.0,0.0,854.96
R2042379,20.0,S,999000.0,1099000.0,3/7/2016,3/19/2016,12.0,2.0,3.0,1273.0,2009.0,1.0,863.32,2.0,1.0,863.32
R2044033,16.0,S,685000.0,685000.0,3/7/2016,3/18/2016,11.0,1.0,1.0,620.0,2013.0,1.0,1104.84,1.0,0.0,1104.84
R2042437,18.0,S,429800.0,480000.0,3/7/2016,3/15/2016,8.0,1.0,1.0,583.0,2008.0,1.0,823.33,1.0,0.0,823.33
R2043184,20.0,S,650000.0,650000.0,3/7/2016,3/15/2016,8.0,1.0,1.0,624.0,2000.0,1.0,1041.67,1.0,0.0,1041.67
R2042995,20.0,S,878000.0,935000.0,3/7/2016,3/15/2016,8.0,2.0,2.0,1066.0,1995.0,1.0,877.11,2.0,0.0,877.11
R2042774,20.0,S,398800.0,510000.0,3/7/2016,3/15/2016,8.0,1.0,1.0,630.0,2007.0,1.0,809.52,1.0,0.0,809.52
R2043885,1.0,S,559000.0,570000.0,3/7/2016,3/15/2016,8.0,1.0,1.0,640.0,2010.0,,890.63,1.0,0.0,890.63
R2042608,15.0,S,789000.0,808000.0,3/7/2016,3/14/2016,0.0,2.0,2.0,1040.0,1994.0,1.0,776.92,2.0,0.0,776.92
R2043372,7.0,S,398000.0,395000.0,3/7/2016,3/14/2016,7.0,0.0,1.0,445.0,2005.0,1.0,887.64,1.0,0.0,887.64
R2042445,13.0,S,475000.0,530000.0,3/7/2016,3/14/2016,7.0,1.0,1.0,642.0,1995.0,1.0,825.55,1.0,0.0,825.55
R2042806,11.0,S,399900.0,422000.0,3/7/2016,3/14/2016,7.0,1.0,1.0,624.0,2005.0,1.0,676.28,1.0,0.0,676.28
R2042979,12.0,S,508000.0,545000.0,3/7/2016,3/14/2016,7.0,1.0,1.0,726.0,1998.0,1.0,750.69,1.0,0.0,750.69
R2042711,20.0,S,469000.0,511666.0,3/7/2016,3/14/2016,7.0,1.0,1.0,500.0,2004.0,1.0,1023.33,1.0,0.0,1023.33
R2042542,20.0,S,449000.0,525000.0,3/7/2016,3/14/2016,7.0,1.0,1.0,647.0,2010.0,1.0,811.44,1.0,0.0,811.44
R2042699,16.0,S,649900.0,727000.0,3/7/2016,3/14/2016,7.0,2.0,2.0,888.0,1997.0,1.0,818.69,2.0,0.0,818.69
R2042899,20.0,S,449000.0,456000.0,3/7/2016,3/14/2016,7.0,1.0,1.0,624.0,2007.0,0.0,730.77,1.0,0.0,730.77
R2042724,13.0,S,500000.0,500000.0,3/7/2016,3/13/2016,6.0,1.0,1.0,758.0,1996.0,0.0,659.63,1.0,0.0,659.63
R2042622,13.0,S,688000.0,672500.0,3/7/2016,3/11/2016,4.0,2.0,2.0,805.0,1999.0,1.0,835.4,2.0,0.0,835.4
R2043111,13.0,S,399900.0,420000.0,3/7/2016,3/11/2016,4.0,1.0,1.0,605.0,1984.0,1.0,694.21,1.0,0.0,694.21
R2042623,18.0,S,1199000.0,1199000.0,3/7/2016,3/9/2016,2.0,3.0,2.0,1431.0,1996.0,1.0,837.88,2.0,0.0,837.88
R2043318,11.0,S,259000.0,275000.0,3/7/2016,3/8/2016,1.0,0.0,1.0,462.0,1976.0,0.0,595.24,1.0,0.0,595.24
R2043863,6.0,S,639000.0,620000.0,3/6/2016,3/31/2016,25.0,2.0,2.0,750.0,2005.0,1.0,826.67,2.0,0.0,826.67
R2042892,20.0,S,1248800.0,1350000.0,3/6/2016,3/9/2016,3.0,3.0,2.0,1505.0,1996.0,2.0,897.01,1.0,1.0,897.01
R2042425,15.0,T,759000.0,,3/5/2016,,16.0,1.0,1.0,641.0,2014.0,1.0,,1.0,0.0,1184.09
R2044805,17.0,S,519000.0,515000.0,3/5/2016,3/28/2016,23.0,1.0,1.0,510.0,2010.0,1.0,1009.8,1.0,0.0,1009.8
R2042858,11.0,S,595000.0,590000.0,3/5/2016,3/6/2016,1.0,1.0,1.0,695.0,2010.0,1.0,848.92,1.0,0.0,848.92
R2042102,20.0,T,499000.0,,3/4/2016,,27.0,1.0,1.0,635.0,2002.0,1.0,,1.0,0.0,785.83
R2043677,10.0,S,359900.0,347000.0,3/4/2016,3/22/2016,18.0,1.0,1.0,585.0,1976.0,,593.16,1.0,0.0,593.16
R2043587,4.0,S,535000.0,525000.0,3/4/2016,3/16/2016,12.0,1.0,1.0,562.0,2009.0,1.0,934.16,1.0,0.0,934.16
R2042846,20.0,S,498000.0,530000.0,3/4/2016,3/14/2016,10.0,1.0,1.0,674.0,2009.0,1.0,786.35,1.0,0.0,786.35
R2042954,15.0,S,499900.0,523000.0,3/4/2016,3/14/2016,10.0,1.0,1.0,618.0,2001.0,1.0,846.28,1.0,0.0,846.28
R2042477,4.0,S,819000.0,830000.0,3/4/2016,3/9/2016,5.0,2.0,2.0,1143.0,2009.0,1.0,726.16,2.0,0.0,726.16
R2041462,17.0,T,589000.0,,3/3/2016,,26.0,1.0,1.0,785.0,2009.0,1.0,,1.0,0.0,750.32
R2041960,5.0,S,899000.0,870000.0,3/3/2016,3/22/2016,19.0,2.0,2.0,938.0,2009.0,2.0,927.51,2.0,0.0,927.51
R2041806,14.0,S,439000.0,425000.0,3/3/2016,3/16/2016,13.0,1.0,1.0,529.0,1996.0,1.0,803.4,1.0,0.0,803.4
R2043601,12.0,S,468000.0,589000.0,3/3/2016,3/15/2016,12.0,1.0,1.0,575.0,1998.0,2.0,1024.35,1.0,0.0,1024.35
R2041460,19.0,S,998000.0,1150000.0,3/3/2016,3/12/2016,9.0,2.0,2.0,1133.0,1994.0,1.0,1015.0,2.0,0.0,1015.0
R2042187,20.0,S,558000.0,559000.0,3/3/2016,3/9/2016,6.0,1.0,1.0,725.0,2009.0,1.0,771.03,1.0,0.0,771.03
R2041588,20.0,S,599000.0,605000.0,3/3/2016,3/8/2016,5.0,2.0,2.0,750.0,1995.0,1.0,806.67,2.0,0.0,806.67
R2041986,1.0,S,399800.0,400000.0,3/3/2016,3/7/2016,4.0,0.0,1.0,439.0,2003.0,0.0,911.16,1.0,0.0,911.16
R2041661,17.0,S,608800.0,685000.0,3/3/2016,3/7/2016,4.0,1.0,1.0,758.0,2005.0,1.0,903.69,1.0,0.0,903.69
R2041405,16.0,S,549000.0,575000.0,3/3/2016,3/5/2016,2.0,1.0,1.0,568.0,2000.0,1.0,1012.32,1.0,0.0,1012.32
R2041778,9.0,S,1550000.0,1550000.0,3/3/2016,3/3/2016,0.0,2.0,2.0,1172.0,2007.0,1.0,1322.53,2.0,0.0,1322.53
R2042575,1.0,S,579900.0,559250.0,3/3/2016,3/3/2016,0.0,1.0,1.0,625.0,2008.0,1.0,894.8,1.0,0.0,894.8
R2040928,20.0,S,919000.0,925000.0,3/2/2016,3/25/2016,23.0,2.0,2.0,1162.0,1996.0,1.0,796.04,2.0,0.0,796.04
R2042235,14.0,S,829900.0,850000.0,3/2/2016,3/14/2016,12.0,2.0,2.0,1160.0,1994.0,1.0,732.76,2.0,0.0,732.76
R2040933,11.0,S,499900.0,495000.0,3/2/2016,3/14/2016,12.0,1.0,1.0,609.0,2009.0,1.0,812.81,1.0,0.0,812.81
R2041354,20.0,S,499900.0,498000.0,3/2/2016,3/13/2016,11.0,1.0,1.0,620.0,2000.0,1.0,803.23,1.0,0.0,803.23
R2041316,12.0,S,469800.0,496090.0,3/2/2016,3/11/2016,9.0,1.0,1.0,526.0,1999.0,1.0,943.14,1.0,0.0,943.14
R2040936,18.0,S,499000.0,555000.0,3/2/2016,3/11/2016,9.0,2.0,2.0,792.0,1995.0,1.0,700.76,2.0,0.0,700.76
R2041771,14.0,S,659000.0,764000.0,3/2/2016,3/8/2016,6.0,2.0,2.0,750.0,2009.0,1.0,1018.67,2.0,0.0,1018.67
R2040919,20.0,S,629000.0,629000.0,3/2/2016,3/7/2016,5.0,1.0,1.0,753.0,2004.0,1.0,835.33,1.0,0.0,835.33
R2041770,20.0,S,749900.0,811000.0,3/2/2016,3/7/2016,5.0,1.0,1.0,741.0,2005.0,1.0,1094.47,1.0,0.0,1094.47
R2041121,16.0,S,499000.0,531000.0,3/2/2016,3/7/2016,5.0,1.0,1.0,635.0,2008.0,1.0,836.22,1.0,0.0,836.22
R2040939,19.0,S,865000.0,850000.0,3/2/2016,3/7/2016,5.0,1.0,1.0,888.0,1996.0,1.0,957.21,1.0,0.0,957.21
R2040913,20.0,S,649000.0,702000.0,3/2/2016,3/6/2016,4.0,2.0,2.0,956.0,2007.0,1.0,734.31,2.0,0.0,734.31
R2041164,18.0,S,585000.0,599000.0,3/2/2016,3/3/2016,1.0,2.0,1.0,733.0,1994.0,1.0,817.19,1.0,0.0,817.19
R2041551,17.0,T,575000.0,,3/1/2016,,30.0,1.0,1.0,855.0,2012.0,1.0,,1.0,0.0,672.51
R2039633,19.0,S,729000.0,720000.0,3/1/2016,3/21/2016,20.0,2.0,2.0,905.0,1996.0,,795.58,2.0,0.0,795.58
R2042240,13.0,S,499900.0,541000.0,3/1/2016,3/14/2016,13.0,1.0,1.0,692.0,2008.0,1.0,781.79,1.0,0.0,781.79
R2040880,20.0,S,449900.0,508000.0,3/1/2016,3/11/2016,10.0,1.0,1.0,687.0,1994.0,1.0,739.45,1.0,0.0,739.45
R2041670,17.0,S,699000.0,735000.0,3/1/2016,3/10/2016,9.0,2.0,2.0,809.0,2014.0,1.0,908.53,2.0,0.0,908.53
R2041730,12.0,S,599000.0,585000.0,3/1/2016,3/9/2016,8.0,1.0,1.0,725.0,2009.0,1.0,806.9,1.0,0.0,806.9
R2040616,17.0,S,469900.0,475000.0,3/1/2016,3/7/2016,6.0,1.0,1.0,655.0,1993.0,1.0,725.19,1.0,0.0,725.19
R2040837,19.0,S,429800.0,491000.0,3/1/2016,3/7/2016,6.0,1.0,1.0,669.0,1975.0,1.0,733.93,1.0,0.0,733.93
R2040768,19.0,S,679000.0,780000.0,3/1/2016,3/7/2016,6.0,2.0,2.0,836.0,2007.0,1.0,933.01,1.0,1.0,933.01
R2040324,19.0,S,2388000.0,2417000.0,3/1/2016,3/7/2016,6.0,3.0,3.0,1785.0,1995.0,2.0,1354.06,3.0,0.0,1354.06
R2040460,20.0,S,799000.0,825000.0,3/1/2016,3/6/2016,5.0,2.0,2.0,1290.0,1995.0,,639.53,2.0,0.0,639.53
R2040952,18.0,S,429900.0,439000.0,3/1/2016,3/4/2016,3.0,1.0,1.0,487.0,2002.0,1.0,901.44,1.0,0.0,901.44
R2040320,8.0,S,649000.0,640000.0,3/1/2016,3/4/2016,3.0,1.0,1.0,975.0,1988.0,1.0,656.41,1.0,0.0,656.41
R2040185,19.0,T,549900.0,,2/29/2016,,9.0,1.0,1.0,694.0,2010.0,1.0,,1.0,0.0,792.36
R2040086,19.0,T,660000.0,,2/29/2016,,3.0,2.0,1.0,760.0,2007.0,1.0,,1.0,0.0,868.42
R2040456,17.0,S,950000.0,1111100.0,2/29/2016,3/30/2016,30.0,2.0,2.0,1200.0,1995.0,1.0,925.92,2.0,0.0,925.92
R2039983,17.0,S,549000.0,549000.0,2/29/2016,3/26/2016,26.0,1.0,1.0,689.0,1998.0,1.0,796.81,1.0,0.0,796.81
R2041185,15.0,S,369000.0,360000.0,2/29/2016,3/20/2016,20.0,1.0,1.0,405.0,2008.0,0.0,888.89,1.0,0.0,888.89
R2039878,20.0,S,1648000.0,1630000.0,2/29/2016,3/17/2016,17.0,2.0,1.0,1411.0,1912.0,1.0,1155.21,1.0,0.0,1155.21
R2039908,8.0,S,258000.0,286000.0,2/29/2016,3/15/2016,15.0,0.0,1.0,449.0,1978.0,,636.97,1.0,0.0,636.97
R2040403,20.0,S,779000.0,774900.0,2/29/2016,3/15/2016,15.0,1.0,1.0,781.0,2014.0,1.0,992.19,1.0,0.0,992.19
R2040797,6.0,S,858000.0,858000.0,2/29/2016,3/14/2016,14.0,2.0,2.0,922.0,2008.0,2.0,930.59,2.0,0.0,930.59
R2040820,18.0,S,629900.0,632000.0,2/29/2016,3/13/2016,13.0,1.0,1.0,768.0,2005.0,1.0,822.92,1.0,0.0,822.92
R2041623,12.0,S,398800.0,400000.0,2/29/2016,3/11/2016,11.0,0.0,1.0,440.0,2005.0,0.0,909.09,1.0,0.0,909.09
R2040168,20.0,S,1280000.0,1277000.0,2/29/2016,3/10/2016,10.0,2.0,2.0,1066.0,1965.0,1.0,1197.94,2.0,0.0,1197.94
R2041347,19.0,S,898000.0,898000.0,2/29/2016,3/9/2016,9.0,2.0,2.0,853.0,2011.0,2.0,1052.75,2.0,0.0,1052.75
R2040273,20.0,S,788800.0,838000.0,2/29/2016,3/9/2016,9.0,2.0,2.0,1063.0,2009.0,1.0,788.33,2.0,0.0,788.33
