,PicCount,Status,List Price,Sold Price,List Date,Sold Date,DOM,Tot BR,Tot Baths,TotFlArea,Yr Blt,TotalPrkng,Sold Price per SqFt,Full Baths,Half Baths,Price Per SQFT
R2029953,20.0,S,749999.0,745000.0,2/1/2016,2/10/2016,9.0,2.0,2.0,901.0,2009.0,1.0,826.86,2.0,0.0,826.86
R2029887,15.0,S,588000.0,700000.0,2/1/2016,2/9/2016,8.0,2.0,1.0,778.0,1995.0,1.0,899.74,1.0,0.0,899.74
R2030306,17.0,S,445000.0,507000.0,2/1/2016,2/9/2016,8.0,1.0,1.0,747.0,2009.0,1.0,678.71,1.0,0.0,678.71
R2030103,15.0,S,675000.0,690000.0,2/1/2016,2/9/2016,8.0,1.0,1.0,723.0,1998.0,1.0,954.36,1.0,0.0,954.36
R2030332,20.0,S,699900.0,733000.0,2/1/2016,2/9/2016,8.0,2.0,2.0,845.0,2005.0,1.0,867.46,2.0,0.0,867.46
R2030472,20.0,S,379900.0,450000.0,2/1/2016,2/9/2016,8.0,1.0,1.0,505.0,1995.0,1.0,891.09,1.0,0.0,891.09
R2030042,17.0,S,449000.0,495000.0,2/1/2016,2/8/2016,7.0,1.0,1.0,580.0,2005.0,1.0,853.45,1.0,0.0,853.45
R2030079,19.0,S,549900.0,585000.0,2/1/2016,2/8/2016,7.0,1.0,1.0,643.0,1999.0,1.0,909.8,1.0,0.0,909.8
R2029898,20.0,S,439000.0,440000.0,2/1/2016,2/8/2016,7.0,1.0,1.0,665.0,2008.0,1.0,661.65,1.0,0.0,661.65
R2029934,9.0,S,549000.0,560000.0,2/1/2016,2/7/2016,6.0,1.0,1.0,601.0,2008.0,1.0,931.78,1.0,0.0,931.78
R2030175,15.0,S,420000.0,441000.0,2/1/2016,2/7/2016,6.0,1.0,1.0,542.0,1999.0,1.0,813.65,1.0,0.0,813.65
R2030246,1.0,S,1328000.0,1600888.0,2/1/2016,2/6/2016,5.0,3.0,2.0,1305.0,1997.0,2.0,1226.73,2.0,0.0,1226.73
R2030300,20.0,S,575000.0,600000.0,2/1/2016,2/5/2016,4.0,1.0,1.0,589.0,1995.0,1.0,1018.68,1.0,0.0,1018.68
R2031055,2.0,S,450000.0,526600.0,2/1/2016,2/4/2016,3.0,1.0,1.0,515.0,2016.0,0.0,1022.52,1.0,0.0,1022.52
R2030342,15.0,S,399800.0,399800.0,2/1/2016,2/2/2016,1.0,0.0,1.0,439.0,2004.0,,910.71,1.0,0.0,910.71
R2031364,1.0,S,880000.0,880000.0,2/1/2016,2/1/2016,0.0,2.0,2.0,968.0,2014.0,1.0,909.09,2.0,0.0,909.09
R2031084,20.0,S,2168000.0,2200100.0,1/31/2016,2/10/2016,10.0,2.0,2.0,1370.0,2005.0,2.0,1605.91,2.0,0.0,1605.91
R2030476,20.0,S,508000.0,547000.0,1/31/2016,2/9/2016,9.0,1.0,1.0,609.0,1999.0,1.0,898.19,1.0,0.0,898.19
R2030258,16.0,S,528800.0,545000.0,1/31/2016,2/9/2016,9.0,1.0,1.0,609.0,2009.0,1.0,894.91,1.0,0.0,894.91
R2030131,2.0,S,469000.0,469000.0,1/30/2016,2/8/2016,9.0,1.0,1.0,654.0,2009.0,1.0,717.13,1.0,0.0,717.13
R2030541,19.0,S,758000.0,808000.0,1/30/2016,2/3/2016,4.0,3.0,2.0,1183.0,1996.0,2.0,683.01,2.0,0.0,683.01
R2029714,9.0,T,1250000.0,,1/29/2016,,52.0,2.0,2.0,1243.0,2008.0,1.0,,2.0,0.0,1005.63
R2030565,20.0,S,2398000.0,2260000.0,1/29/2016,2/22/2016,24.0,2.0,3.0,1552.0,2008.0,2.0,1456.19,2.0,1.0,1456.19
R2029984,20.0,S,878000.0,878000.0,1/29/2016,2/9/2016,11.0,1.0,1.0,787.0,2007.0,1.0,1115.63,1.0,0.0,1115.63
R2030762,5.0,S,1080000.0,1068000.0,1/29/2016,2/8/2016,10.0,2.0,2.0,1131.0,2016.0,1.0,944.3,2.0,0.0,944.3
R2029766,18.0,S,439000.0,470000.0,1/29/2016,2/8/2016,10.0,1.0,1.0,592.0,2007.0,1.0,793.92,1.0,0.0,793.92
R2030244,17.0,S,669000.0,711300.0,1/29/2016,2/7/2016,9.0,2.0,2.0,965.0,1994.0,,737.1,2.0,0.0,737.1
R2029630,20.0,S,1198800.0,1150000.0,1/29/2016,2/3/2016,5.0,2.0,2.0,1259.0,2002.0,2.0,913.42,2.0,0.0,913.42
R2029690,15.0,S,778000.0,770000.0,1/29/2016,2/3/2016,5.0,2.0,2.0,916.0,2009.0,,840.61,2.0,0.0,840.61
R2030145,20.0,S,2390000.0,2250000.0,1/28/2016,2/27/2016,30.0,2.0,3.0,2432.0,2004.0,2.0,925.16,2.0,1.0,925.16
R2029581,17.0,S,1920000.0,1950000.0,1/28/2016,2/17/2016,20.0,2.0,2.0,1247.0,2003.0,2.0,1563.75,2.0,0.0,1563.75
R2029576,20.0,S,738000.0,733000.0,1/28/2016,2/13/2016,16.0,2.0,2.0,902.0,2008.0,1.0,812.64,2.0,0.0,812.64
R2029477,20.0,S,2225000.0,2162500.0,1/28/2016,2/10/2016,13.0,3.0,2.0,1812.0,1988.0,2.0,1193.43,2.0,0.0,1193.43
R2029614,1.0,S,449900.0,460000.0,1/28/2016,2/9/2016,12.0,1.0,1.0,584.0,2004.0,1.0,787.67,1.0,0.0,787.67
R2030852,12.0,S,348000.0,358000.0,1/28/2016,2/6/2016,9.0,0.0,1.0,458.0,1997.0,1.0,781.66,1.0,0.0,781.66
R2029684,14.0,S,322000.0,325000.0,1/28/2016,2/3/2016,6.0,0.0,1.0,465.0,1976.0,,698.92,1.0,0.0,698.92
R2029325,15.0,S,319000.0,317000.0,1/27/2016,3/17/2016,50.0,0.0,1.0,442.0,1986.0,,717.19,1.0,0.0,717.19
R2029788,2.0,S,1403000.0,1385000.0,1/27/2016,2/18/2016,22.0,2.0,2.0,1060.0,2003.0,2.0,1306.6,2.0,0.0,1306.6
R2029001,9.0,S,499000.0,496000.0,1/27/2016,2/14/2016,18.0,1.0,1.0,502.0,2007.0,1.0,988.05,1.0,0.0,988.05
R2030307,20.0,S,2398000.0,2300000.0,1/27/2016,2/12/2016,16.0,2.0,2.0,1456.0,2003.0,2.0,1579.67,2.0,0.0,1579.67
R2029131,12.0,S,489000.0,513000.0,1/27/2016,2/9/2016,13.0,1.0,1.0,670.0,2008.0,1.0,765.67,1.0,0.0,765.67
R2028724,1.0,S,585000.0,652000.0,1/27/2016,2/3/2016,7.0,1.0,1.0,706.0,2007.0,1.0,923.51,1.0,0.0,923.51
R2028906,11.0,S,678000.0,705000.0,1/27/2016,2/2/2016,6.0,1.0,1.0,757.0,2004.0,1.0,931.31,1.0,0.0,931.31
R2028775,20.0,S,1299000.0,1299000.0,1/27/2016,2/2/2016,6.0,2.0,2.0,1123.0,2009.0,1.0,1156.72,2.0,0.0,1156.72
R2029209,15.0,S,428000.0,451000.0,1/27/2016,2/2/2016,6.0,1.0,1.0,600.0,1982.0,1.0,751.67,1.0,0.0,751.67
R2029105,20.0,S,698888.0,755000.0,1/27/2016,2/2/2016,6.0,2.0,2.0,790.0,1994.0,1.0,955.7,2.0,0.0,955.7
R2028875,9.0,S,289000.0,295000.0,1/27/2016,2/1/2016,5.0,0.0,1.0,448.0,1978.0,0.0,658.48,1.0,0.0,658.48
R2028977,20.0,S,495000.0,560000.0,1/27/2016,2/1/2016,5.0,1.0,1.0,748.0,1993.0,0.0,748.66,1.0,0.0,748.66
R2028932,20.0,S,799000.0,812000.0,1/27/2016,2/1/2016,5.0,2.0,2.0,1105.0,1994.0,1.0,734.84,2.0,0.0,734.84
R2029204,6.0,T,1032900.0,,1/26/2016,,36.0,3.0,2.0,1054.0,2017.0,2.0,,2.0,0.0,979.98
R2028654,1.0,T,399900.0,,1/26/2016,,9.0,1.0,1.0,605.0,1984.0,1.0,,1.0,0.0,660.99
R2028215,7.0,S,499000.0,460000.0,1/26/2016,3/10/2016,44.0,1.0,1.0,614.0,1995.0,,749.19,1.0,0.0,749.19
R2028684,15.0,S,888000.0,855000.0,1/26/2016,2/26/2016,31.0,2.0,2.0,853.0,2007.0,1.0,1002.34,2.0,0.0,1002.34
R2029216,9.0,S,449900.0,449900.0,1/26/2016,2/10/2016,15.0,1.0,1.0,513.0,2017.0,1.0,877.0,1.0,0.0,877.0
R2029289,7.0,S,1039900.0,1039900.0,1/26/2016,2/10/2016,15.0,2.0,2.0,1149.0,2017.0,2.0,905.05,2.0,0.0,905.05
R2028662,20.0,S,2088000.0,2068000.0,1/26/2016,2/9/2016,14.0,2.0,2.0,1383.0,2005.0,2.0,1495.3,2.0,0.0,1495.3
R2028969,7.0,S,448800.0,448800.0,1/26/2016,2/8/2016,13.0,1.0,1.0,579.0,2002.0,1.0,775.13,1.0,0.0,775.13
R2029299,3.0,S,619000.0,660000.0,1/26/2016,2/7/2016,12.0,2.0,2.0,885.0,2007.0,1.0,745.76,2.0,0.0,745.76
R2028706,20.0,S,725000.0,795000.0,1/26/2016,2/2/2016,7.0,2.0,2.0,872.0,2005.0,1.0,911.7,2.0,0.0,911.7
R2028546,20.0,S,649900.0,701000.0,1/26/2016,2/2/2016,7.0,2.0,2.0,750.0,2002.0,1.0,934.67,2.0,0.0,934.67
R2028319,20.0,S,1298000.0,1351000.0,1/26/2016,2/1/2016,6.0,2.0,2.0,1123.0,2009.0,1.0,1203.03,2.0,0.0,1203.03
R2028417,20.0,S,399000.0,421500.0,1/26/2016,2/1/2016,6.0,0.0,1.0,434.0,2007.0,1.0,971.2,1.0,0.0,971.2
R2028676,9.0,S,465000.0,486800.0,1/26/2016,2/1/2016,6.0,1.0,1.0,553.0,1997.0,1.0,880.29,1.0,0.0,880.29
R2028844,12.0,T,758000.0,,1/25/2016,,22.0,2.0,2.0,861.0,2005.0,1.0,,2.0,0.0,880.37
R2029049,19.0,T,843000.0,,1/25/2016,,16.0,2.0,1.0,1200.0,1973.0,1.0,,1.0,0.0,702.5
R2027986,20.0,T,890000.0,,1/25/2016,,53.0,1.0,2.0,1089.0,2008.0,1.0,,1.0,1.0,817.26
R2028005,13.0,T,698000.0,,1/25/2016,,37.0,2.0,2.0,805.0,1999.0,1.0,,2.0,0.0,867.08
R2027843,20.0,T,449900.0,,1/25/2016,,16.0,1.0,1.0,551.0,2003.0,1.0,,1.0,0.0,816.52
R2028511,20.0,S,1988000.0,1938000.0,1/25/2016,2/23/2016,29.0,2.0,2.0,1252.0,2005.0,2.0,1547.92,2.0,0.0,1547.92
R2027744,20.0,S,1498000.0,1513000.0,1/25/2016,2/11/2016,17.0,2.0,2.0,1180.0,2003.0,1.0,1282.2,2.0,0.0,1282.2
R2028128,19.0,S,379000.0,379000.0,1/25/2016,2/9/2016,15.0,0.0,1.0,448.0,2005.0,0.0,845.98,1.0,0.0,845.98
R2029489,18.0,S,418800.0,442800.0,1/25/2016,2/9/2016,15.0,1.0,1.0,482.0,2014.0,,918.67,1.0,0.0,918.67
R2028018,20.0,S,545500.0,550500.0,1/25/2016,2/8/2016,14.0,1.0,1.0,768.0,1988.0,1.0,716.8,1.0,0.0,716.8
R2028560,2.0,S,818000.0,838000.0,1/25/2016,2/5/2016,11.0,2.0,2.0,1020.0,2010.0,,821.57,2.0,0.0,821.57
R2029148,20.0,S,478000.0,493000.0,1/25/2016,2/4/2016,10.0,1.0,1.0,655.0,2007.0,1.0,752.67,1.0,0.0,752.67
R2027771,20.0,S,499900.0,500000.0,1/25/2016,2/3/2016,9.0,1.0,1.0,549.0,2000.0,1.0,910.75,1.0,0.0,910.75
R2027828,20.0,S,965000.0,964000.0,1/25/2016,2/3/2016,9.0,2.0,2.0,1010.0,2011.0,,954.46,2.0,0.0,954.46
R2028040,20.0,S,1268000.0,1305000.0,1/25/2016,2/2/2016,8.0,2.0,2.0,1075.0,2003.0,1.0,1213.95,2.0,0.0,1213.95
R2028673,13.0,S,439900.0,471000.0,1/25/2016,2/2/2016,8.0,1.0,1.0,578.0,2009.0,1.0,814.88,1.0,0.0,814.88
R2027782,10.0,S,578800.0,580000.0,1/25/2016,2/2/2016,5.0,1.0,1.0,601.0,2011.0,1.0,965.06,1.0,0.0,965.06
R2028016,16.0,S,1088000.0,1088000.0,1/25/2016,2/2/2016,8.0,1.0,2.0,1284.0,2007.0,1.0,847.35,2.0,0.0,847.35
R2028092,20.0,S,1698000.0,1698000.0,1/25/2016,2/2/2016,8.0,3.0,3.0,1435.0,2014.0,2.0,1183.28,2.0,1.0,1183.28
R2027707,20.0,S,388000.0,425500.0,1/25/2016,2/2/2016,8.0,1.0,1.0,680.0,1977.0,1.0,625.74,1.0,0.0,625.74
R2028994,13.0,S,639000.0,670000.0,1/25/2016,2/2/2016,8.0,1.0,1.0,615.0,2008.0,1.0,1089.43,1.0,0.0,1089.43
R2027894,13.0,S,475000.0,535000.0,1/25/2016,2/2/2016,8.0,1.0,1.0,642.0,1993.0,1.0,833.33,1.0,0.0,833.33
R2027841,20.0,S,448000.0,560000.0,1/25/2016,2/1/2016,7.0,1.0,1.0,760.0,1995.0,1.0,736.84,1.0,0.0,736.84
R2028661,20.0,S,948000.0,951000.0,1/25/2016,2/1/2016,7.0,2.0,2.0,1197.0,2003.0,2.0,794.49,2.0,0.0,794.49
R2029101,1.0,S,539800.0,560000.0,1/25/2016,2/1/2016,7.0,1.0,1.0,672.0,2011.0,1.0,833.33,1.0,0.0,833.33
R2028216,1.0,S,465000.0,508000.0,1/25/2016,2/1/2016,7.0,1.0,1.0,586.0,2005.0,1.0,866.89,1.0,0.0,866.89
R2028068,20.0,S,409900.0,426000.0,1/25/2016,2/1/2016,7.0,1.0,1.0,734.0,1979.0,1.0,580.38,1.0,0.0,580.38
R2027800,20.0,S,456000.0,535000.0,1/25/2016,2/1/2016,7.0,1.0,1.0,667.0,1996.0,1.0,802.1,1.0,0.0,802.1
R2028086,20.0,S,788000.0,807000.0,1/25/2016,2/1/2016,7.0,3.0,2.0,1137.0,1994.0,1.0,709.76,2.0,0.0,709.76
R2028852,20.0,S,479000.0,530000.0,1/25/2016,2/1/2016,0.0,1.0,1.0,619.0,2002.0,2.0,856.22,1.0,0.0,856.22
R2027827,20.0,S,1598000.0,1570000.0,1/25/2016,2/1/2016,7.0,2.0,2.0,1443.0,2013.0,1.0,1088.01,2.0,0.0,1088.01
R2028148,14.0,S,699000.0,679000.0,1/25/2016,2/1/2016,7.0,2.0,2.0,888.0,1997.0,2.0,764.64,2.0,0.0,764.64
R2028355,16.0,S,499900.0,540000.0,1/25/2016,1/31/2016,6.0,1.0,1.0,725.0,2009.0,1.0,744.83,1.0,0.0,744.83
R2029284,6.0,S,415000.0,415000.0,1/25/2016,1/27/2016,2.0,1.0,1.0,587.0,1995.0,1.0,706.98,1.0,0.0,706.98
R2028119,20.0,S,823000.0,900000.0,1/25/2016,1/26/2016,1.0,2.0,2.0,992.0,2009.0,,907.26,2.0,0.0,907.26
R2028204,20.0,S,499900.0,530000.0,1/24/2016,1/26/2016,2.0,1.0,1.0,590.0,2002.0,1.0,898.31,1.0,0.0,898.31
R2029317,1.0,S,389000.0,402000.0,1/23/2016,2/1/2016,9.0,1.0,1.0,648.0,1968.0,1.0,620.37,1.0,0.0,620.37
R2027516,14.0,S,698000.0,677000.0,1/22/2016,3/10/2016,48.0,2.0,2.0,745.0,1996.0,1.0,908.72,2.0,0.0,908.72
R2027504,6.0,S,688000.0,680000.0,1/22/2016,2/3/2016,12.0,1.0,1.0,813.0,2011.0,1.0,836.41,1.0,0.0,836.41
R2027758,19.0,S,1050000.0,1110000.0,1/22/2016,2/2/2016,11.0,2.0,2.0,1087.0,1965.0,1.0,1021.16,2.0,0.0,1021.16
R2027386,12.0,S,349900.0,381000.0,1/22/2016,2/1/2016,10.0,1.0,1.0,511.0,1979.0,1.0,745.6,1.0,0.0,745.6
R2027646,17.0,S,1099000.0,1240000.0,1/22/2016,2/1/2016,10.0,3.0,3.0,1368.0,2008.0,,906.43,3.0,0.0,906.43
R2027946,1.0,S,380000.0,391000.0,1/22/2016,1/29/2016,7.0,1.0,1.0,513.0,1998.0,,762.18,1.0,0.0,762.18
R2027564,1.0,S,479000.0,505000.0,1/22/2016,1/27/2016,5.0,1.0,1.0,685.0,1998.0,1.0,737.23,1.0,0.0,737.23
R2027643,20.0,S,1590888.0,1591888.0,1/22/2016,1/25/2016,3.0,2.0,2.0,1350.0,2008.0,1.0,1179.18,2.0,0.0,1179.18
R2027583,1.0,T,435000.0,,1/21/2016,,12.0,2.0,2.0,657.0,1994.0,1.0,,2.0,0.0,662.1
R2028461,7.0,S,698000.0,696000.0,1/21/2016,3/10/2016,49.0,2.0,2.0,870.0,1996.0,1.0,800.0,2.0,0.0,800.0
R2028315,20.0,S,698800.0,710000.0,1/21/2016,2/1/2016,11.0,2.0,2.0,900.0,2005.0,1.0,788.89,2.0,0.0,788.89
R2027256,12.0,S,500000.0,508000.0,1/21/2016,1/31/2016,10.0,1.0,1.0,564.0,2007.0,1.0,900.71,1.0,0.0,900.71
R2029526,1.0,S,369000.0,370000.0,1/21/2016,1/29/2016,8.0,1.0,1.0,449.0,2005.0,,824.05,1.0,0.0,824.05
R2027351,20.0,S,779000.0,831000.0,1/21/2016,1/25/2016,4.0,2.0,2.0,786.0,2002.0,1.0,1057.25,2.0,0.0,1057.25
R2027103,19.0,S,479000.0,500000.0,1/21/2016,1/22/2016,1.0,1.0,1.0,527.0,2005.0,1.0,948.77,1.0,0.0,948.77
R2027234,20.0,S,1456789.0,1456789.0,1/21/2016,1/22/2016,1.0,4.0,2.0,1805.0,1995.0,,807.09,2.0,0.0,807.09
R2027349,6.0,T,999900.0,,1/20/2016,,41.0,1.0,2.0,1418.0,2008.0,1.0,,1.0,1.0,705.15
R2026802,20.0,S,1880000.0,1820000.0,1/20/2016,2/28/2016,39.0,2.0,3.0,2106.0,2003.0,2.0,864.2,2.0,1.0,864.2
R2026813,20.0,S,2098000.0,1980000.0,1/20/2016,2/26/2016,37.0,2.0,2.0,1396.0,2007.0,2.0,1418.34,2.0,0.0,1418.34
R2026719,1.0,S,388000.0,395000.0,1/20/2016,2/4/2016,15.0,2.0,1.0,713.0,1989.0,1.0,554.0,1.0,0.0,554.0
R2027022,1.0,S,549800.0,580000.0,1/20/2016,2/1/2016,12.0,2.0,2.0,883.0,1995.0,1.0,656.85,2.0,0.0,656.85
R2028644,15.0,S,860000.0,900000.0,1/20/2016,1/31/2016,11.0,2.0,2.0,974.0,1997.0,1.0,924.02,2.0,0.0,924.02
R2026921,13.0,S,539900.0,596000.0,1/20/2016,1/26/2016,6.0,1.0,1.0,589.0,1995.0,1.0,1011.88,1.0,0.0,1011.88
R2026613,14.0,S,369900.0,431000.0,1/20/2016,1/25/2016,5.0,0.0,1.0,583.0,2008.0,1.0,739.28,1.0,0.0,739.28
R2027014,13.0,S,810000.0,806000.0,1/20/2016,1/25/2016,5.0,2.0,2.0,942.0,1995.0,1.0,855.63,2.0,0.0,855.63
R2026751,20.0,S,698888.0,829000.0,1/20/2016,1/25/2016,5.0,2.0,2.0,905.0,1994.0,1.0,916.02,2.0,0.0,916.02
R2026661,19.0,S,678000.0,680000.0,1/20/2016,1/21/2016,1.0,1.0,1.0,816.0,2011.0,1.0,833.33,1.0,0.0,833.33
R2026227,20.0,T,898000.0,,1/19/2016,,41.0,2.0,2.0,853.0,2011.0,2.0,,2.0,0.0,1052.75
R2026141,1.0,T,798000.0,,1/19/2016,,23.0,2.0,2.0,818.0,2009.0,1.0,,2.0,0.0,975.55
R2027217,4.0,S,659000.0,643000.0,1/19/2016,3/1/2016,42.0,1.0,1.0,787.0,2006.0,1.0,817.03,1.0,0.0,817.03
R2026919,20.0,S,818000.0,785000.0,1/19/2016,2/18/2016,30.0,1.0,1.0,669.0,1976.0,1.0,1173.39,1.0,0.0,1173.39
R2026255,19.0,S,675000.0,665000.0,1/19/2016,2/1/2016,13.0,2.0,2.0,888.0,1997.0,2.0,748.87,2.0,0.0,748.87
R2026917,15.0,S,469999.0,511000.0,1/19/2016,1/29/2016,10.0,1.0,1.0,587.0,2007.0,1.0,870.53,1.0,0.0,870.53
R2026902,15.0,S,449990.0,508000.0,1/19/2016,1/29/2016,10.0,1.0,1.0,515.0,2007.0,1.0,986.41,1.0,0.0,986.41
R2026244,20.0,S,299900.0,334000.0,1/19/2016,1/28/2016,9.0,1.0,1.0,469.0,1975.0,1.0,712.15,1.0,0.0,712.15
R2026323,20.0,S,598000.0,598000.0,1/19/2016,1/26/2016,7.0,1.0,1.0,847.0,2009.0,1.0,706.02,1.0,0.0,706.02
R2026499,16.0,S,499000.0,530000.0,1/19/2016,1/26/2016,7.0,1.0,1.0,607.0,2005.0,1.0,873.15,1.0,0.0,873.15
R2027321,6.0,S,499000.0,483000.0,1/19/2016,1/26/2016,7.0,1.0,1.0,622.0,2007.0,1.0,776.53,1.0,0.0,776.53
R2026616,12.0,S,358000.0,400000.0,1/19/2016,1/25/2016,6.0,1.0,1.0,560.0,1996.0,1.0,714.29,1.0,0.0,714.29
R2026551,13.0,S,299000.0,306000.0,1/19/2016,1/25/2016,6.0,0.0,1.0,463.0,1976.0,0.0,660.91,1.0,0.0,660.91
R2026456,14.0,S,589900.0,634000.0,1/19/2016,1/24/2016,5.0,1.0,1.0,740.0,2009.0,1.0,856.76,1.0,0.0,856.76
R2026936,1.0,S,419800.0,409000.0,1/19/2016,1/22/2016,3.0,1.0,1.0,706.0,1995.0,1.0,579.32,1.0,0.0,579.32
R2026750,9.0,S,200000.0,200000.0,1/19/2016,1/21/2016,2.0,1.0,1.0,327.0,2000.0,,611.62,1.0,0.0,611.62
R2025749,2.0,T,828000.0,,1/18/2016,,59.0,2.0,2.0,825.0,1998.0,1.0,,2.0,0.0,1003.64
R2025847,16.0,T,579000.0,,1/18/2016,,32.0,1.0,1.0,629.0,2005.0,,,1.0,0.0,920.51
R2027181,14.0,S,748800.0,739900.0,1/18/2016,3/29/2016,71.0,2.0,2.0,1014.0,2008.0,1.0,729.68,2.0,0.0,729.68
R2026804,6.0,S,1220000.0,1220000.0,1/18/2016,3/25/2016,67.0,1.0,2.0,1195.0,2003.0,,1020.92,1.0,1.0,1020.92
R2027896,11.0,S,1998000.0,1750000.0,1/18/2016,3/17/2016,59.0,3.0,3.0,2763.0,1981.0,2.0,633.37,2.0,1.0,633.37
R2026190,14.0,S,798000.0,800888.0,1/18/2016,3/4/2016,46.0,2.0,2.0,1068.0,2006.0,1.0,749.9,2.0,0.0,749.9
R2025831,18.0,S,1628000.0,1628000.0,1/18/2016,2/27/2016,40.0,2.0,3.0,1507.0,2011.0,2.0,1080.29,2.0,1.0,1080.29
R2025875,12.0,S,475000.0,472500.0,1/18/2016,2/9/2016,22.0,1.0,1.0,597.0,2010.0,1.0,791.46,1.0,0.0,791.46
R2025629,20.0,S,920000.0,920000.0,1/18/2016,2/6/2016,19.0,2.0,2.0,1116.0,1989.0,2.0,824.37,2.0,0.0,824.37
R2026163,7.0,S,1148800.0,1085709.0,1/18/2016,2/4/2016,17.0,2.0,2.0,1165.0,2016.0,2.0,931.94,2.0,0.0,931.94
R2026257,7.0,S,1238000.0,1190000.0,1/18/2016,2/3/2016,16.0,2.0,2.0,1112.0,2016.0,2.0,1070.14,2.0,0.0,1070.14
R2025962,19.0,S,999800.0,1038000.0,1/18/2016,1/31/2016,0.0,2.0,2.0,1048.0,2008.0,1.0,990.46,2.0,0.0,990.46
R2025896,19.0,S,409900.0,405000.0,1/18/2016,1/29/2016,11.0,2.0,1.0,735.0,1981.0,0.0,551.02,1.0,0.0,551.02
R2027481,5.0,S,788000.0,788000.0,1/18/2016,1/27/2016,9.0,1.0,2.0,1045.0,1992.0,1.0,754.07,2.0,0.0,754.07
R2027775,10.0,S,718000.0,740000.0,1/18/2016,1/27/2016,9.0,2.0,2.0,867.0,2005.0,1.0,853.52,2.0,0.0,853.52
R2026054,12.0,S,459000.0,505100.0,1/18/2016,1/26/2016,8.0,1.0,1.0,860.0,1986.0,1.0,587.33,1.0,0.0,587.33
R2026536,1.0,S,450000.0,450000.0,1/18/2016,1/26/2016,8.0,1.0,1.0,743.0,1959.0,1.0,605.65,1.0,0.0,605.65
R2025955,20.0,S,599900.0,679000.0,1/18/2016,1/26/2016,8.0,2.0,2.0,743.0,1999.0,1.0,913.86,2.0,0.0,913.86
R2025882,20.0,S,488000.0,577000.0,1/18/2016,1/25/2016,7.0,1.0,1.0,608.0,2005.0,1.0,949.01,1.0,0.0,949.01
R2025862,19.0,S,948000.0,948000.0,1/18/2016,1/25/2016,7.0,2.0,2.0,928.0,2011.0,1.0,1021.55,2.0,0.0,1021.55
R2025708,20.0,S,799900.0,900800.0,1/18/2016,1/25/2016,7.0,2.0,2.0,1039.0,2008.0,1.0,866.99,2.0,0.0,866.99
R2026391,20.0,S,499900.0,520000.0,1/18/2016,1/25/2016,7.0,1.0,1.0,635.0,2002.0,1.0,818.9,1.0,0.0,818.9
R2026962,19.0,S,509000.0,561000.0,1/18/2016,1/25/2016,7.0,2.0,1.0,771.0,1997.0,1.0,727.63,1.0,0.0,727.63
R2025965,19.0,S,584900.0,592000.0,1/18/2016,1/25/2016,7.0,2.0,2.0,861.0,1989.0,1.0,687.57,2.0,0.0,687.57
R2026044,15.0,S,428800.0,475000.0,1/18/2016,1/25/2016,7.0,1.0,1.0,655.0,2000.0,1.0,725.19,1.0,0.0,725.19
R2025981,17.0,S,629900.0,732000.0,1/18/2016,1/24/2016,5.0,2.0,2.0,932.0,1983.0,1.0,785.41,2.0,0.0,785.41
R2025764,10.0,S,425800.0,490000.0,1/18/2016,1/21/2016,3.0,1.0,1.0,589.0,2009.0,1.0,831.92,1.0,0.0,831.92
R2025815,15.0,S,389000.0,402500.0,1/18/2016,1/20/2016,2.0,0.0,1.0,541.0,2005.0,1.0,743.99,1.0,0.0,743.99
R2025692,20.0,S,458000.0,450000.0,1/18/2016,1/20/2016,2.0,1.0,1.0,795.0,1965.0,1.0,566.04,1.0,0.0,566.04
R2025745,6.0,S,389000.0,385500.0,1/18/2016,1/20/2016,2.0,0.0,1.0,460.0,2004.0,1.0,838.04,1.0,0.0,838.04
R2025933,4.0,S,349000.0,350800.0,1/18/2016,1/19/2016,1.0,1.0,1.0,554.0,1979.0,1.0,633.21,1.0,0.0,633.21
R2026057,14.0,S,999000.0,999999.0,1/18/2016,1/18/2016,0.0,2.0,2.0,1212.0,1993.0,2.0,825.08,2.0,0.0,825.08
R2026443,19.0,S,520000.0,515000.0,1/17/2016,1/28/2016,11.0,1.0,1.0,750.0,2011.0,,686.67,1.0,0.0,686.67
R2026441,1.0,S,738000.0,718000.0,1/16/2016,3/8/2016,52.0,2.0,2.0,717.0,2010.0,1.0,1001.39,2.0,0.0,1001.39
R2025746,20.0,S,950000.0,1050000.0,1/16/2016,1/25/2016,9.0,2.0,2.0,1292.0,2008.0,,812.69,2.0,0.0,812.69
R2026437,16.0,S,429000.0,496500.0,1/16/2016,1/25/2016,9.0,1.0,1.0,668.0,1990.0,1.0,743.26,1.0,0.0,743.26
R2025662,1.0,S,589000.0,585888.0,1/15/2016,1/31/2016,16.0,1.0,1.0,725.0,2009.0,1.0,808.12,1.0,0.0,808.12
R2025596,20.0,S,549900.0,549000.0,1/15/2016,1/28/2016,13.0,1.0,1.0,660.0,2010.0,1.0,831.82,1.0,0.0,831.82
R2025286,1.0,S,448800.0,484000.0,1/15/2016,1/25/2016,10.0,1.0,1.0,570.0,2004.0,1.0,849.12,1.0,0.0,849.12
R2025051,20.0,T,1825000.0,,1/14/2016,,47.0,2.0,2.0,1145.0,2017.0,2.0,,2.0,0.0,1593.89
